SECID;INDID;Share;Industry
AGR;111;AGR111;Crop Production
AGR;112;AGR112;Animal Production and Aquaculture
AGR;113;AGR113;Forestry and Logging
AGR;114;AGR114;Fishing- Hunting and Trapping
AGR;115;AGR115;SupporActivities for Agriculture and Forestry
AGR;1111;AGR1111;Oilseed and Grain Farming
AGR;1112;AGR1112;Vegetable and Melon Farming
AGR;1113;AGR1113;Fruiand Tree NuFarming
AGR;1114;AGR1114;Greenhouse- Nursery- and Floriculture Production
AGR;1119;AGR1119;Other Crop Farming
AGR;1121;AGR1121;Cattle Ranching and Farming
AGR;1122;AGR1122;Hog and Pig Farming
AGR;1123;AGR1123;Poultry and Egg Production
AGR;1124;AGR1124;Sheep and GoaFarming
AGR;1125;AGR1125;Aquaculture
AGR;1129;AGR1129;Other Animal Production
AGR;1131;AGR1131;Timber TracOperations
AGR;1132;AGR1132;ForesNurseries and Gathering of ForesProducts
AGR;1133;AGR1133;Logging
AGR;1141;AGR1141;Fishing
AGR;1142;AGR1142;Hunting and Trapping
AGR;1151;AGR1151;SupporActivities for Crop Production
AGR;1152;AGR1152;SupporActivities for Animal Production
AGR;1153;AGR1153;SupporActivities for Forestry
AGR;11111;AGR11111;Soybean Farming
AGR;11112;AGR11112;Oilseed (excepSoybean) Farming
AGR;11113;AGR11113;Dry Pea and Bean Farming
AGR;11114;AGR11114;WheaFarming
AGR;11115;AGR11115;Corn Farming
AGR;11116;AGR11116;Rice Farming
AGR;11119;AGR11119;Other Grain Farming
AGR;11121;AGR11121;Vegetable and Melon Farming
AGR;11131;AGR11131;Orange Groves
AGR;11132;AGR11132;Citrus (excepOrange) Groves
AGR;11133;AGR11133;Noncitrus Fruiand Tree NuFarming
AGR;11141;AGR11141;Food Crops Grown Under Cover
AGR;11142;AGR11142;Nursery and Floriculture Production
AGR;11191;AGR11191;Tobacco Farming
AGR;11192;AGR11192;Cotton Farming
AGR;11193;AGR11193;Sugarcane Farming
AGR;11194;AGR11194;Hay Farming
AGR;11199;AGR11199;All Other Crop Farming
AGR;11211;AGR11211;Beef Cattle Ranching and Farming- including Feedlots
AGR;11212;AGR11212;Dairy Cattle and Milk Production
AGR;11213;AGR11213;Dual-Purpose Cattle Ranching and Farming
AGR;11221;AGR11221;Hog and Pig Farming
AGR;11231;AGR11231;Chicken Egg Production
AGR;11232;AGR11232;Broilers and Other MeaType Chicken Production
AGR;11233;AGR11233;Turkey Production
AGR;11234;AGR11234;Poultry Hatcheries
AGR;11239;AGR11239;Other Poultry Production
AGR;11241;AGR11241;Sheep Farming
AGR;11242;AGR11242;GoaFarming
AGR;11251;AGR11251;Aquaculture
AGR;11291;AGR11291;Apiculture
AGR;11292;AGR11292;Horses and Other Equine Production
AGR;11293;AGR11293;Fur-Bearing Animal and RabbiProduction
AGR;11299;AGR11299;All Other Animal Production
AGR;11311;AGR11311;Timber TracOperations
AGR;11321;AGR11321;ForesNurseries and Gathering of ForesProducts
AGR;11331;AGR11331;Logging
AGR;11411;AGR11411;Fishing
AGR;11421;AGR11421;Hunting and Trapping
AGR;11511;AGR11511;SupporActivities for Crop Production
AGR;11521;AGR11521;SupporActivities for Animal Production
AGR;11531;AGR11531;SupporActivities for Forestry
AGR;111110;AGR111110;Soybean Farming
AGR;111120;AGR111120;Oilseed (except Soybean) Farming 
AGR;111130;AGR111130;Dry Pea and Bean Farming 
AGR;111140;AGR111140;Wheat Farming
