Country;Language;Code;Name
AE;AR;ar-AE;Arabic (U.A.E.)
AL;SQ;sq-AL;Albanian (Albania)
AM;HY;hy-AM;Armenian (Armenia)
AR;ES;es-AR;Spanish (Argentina)
AR;PS;ps-AR;Pashto (Afghanistan)
AT;DE;de-AT;German (Austria)
AU;EN;en-AU;English (Australia)
AZ;AZ;az-AZ;Azeri (Latin) (Azerbaijan)
AZ;AZ;az-AZ;Azeri (Cyrillic) (Azerbaijan)
BA;BS;bs-BA;Bosnian (Bosnia and Herzegovina)
BA;HR;hr-BA;Croatian (Bosnia and Herzegovina)
BA;SR;sr-BA;Serbian (Latin) (Bosnia and Herzegovina)
BA;SR;sr-BA;Serbian (Cyrillic) (Bosnia and Herzegovina)
BE;FR;fr-BE;French (Belgium)
BE;NL;nl-BE;Dutch (Belgium)
BG;BG;bg-BG;Bulgarian (Bulgaria)
BH;AR;ar-BH;Arabic (Bahrain)
BN;MS;ms-BN;Malay (Brunei Darussalam)
BO;ES;es-BO;Spanish (Bolivia)
BO;QU;qu-BO;Quechua (Bolivia)
BR;PT;pt-BR;Portuguese (Brazil)
